Processes,N_Threads,Serial_Time,Compute_Time,Total_Time,Speedup_Compute,Efficiency_Compute,Speedup_Comm,Efficiency_Comm
2,1,1.695826,0.843203,1.032932,2.011170,100.558517,1.641760,82.087990
4,1,1.679921,0.420040,0.611235,3.999427,99.985680,2.748405,68.710121
8,1,1.720577,0.215411,0.386638,7.987426,99.842827,4.450096,55.626194
16,1,1.800783,0.112991,0.279900,15.937347,99.608421,6.433669,40.210430
32,1,1.821765,0.060756,0.232007,29.985033,93.703232,7.852211,24.538160
64,1,2.364098,0.038301,0.226367,61.724167,96.444008,10.443669,16.318233
