Processes,N_Threads,Serial_Time,Compute_Time,Total_Time,Speedup_Compute,Efficiency_Compute,Speedup_Comm,Efficiency_Comm
2,1,0.116000,0.062548,0.070790,1.854567,92.728355,1.638645,81.932266
2,2,0.117392,0.106590,0.116958,1.101342,55.067104,1.003708,50.185394
2,4,0.115964,0.074123,0.084470,1.564494,78.224686,1.372853,68.642632
2,8,0.116391,0.040424,0.053587,2.879276,143.963806,2.171986,108.599319
2,16,0.116048,0.044560,0.055069,2.604295,130.214752,2.107310,105.365494
2,32,0.116335,0.036531,0.046255,3.184596,159.229797,2.515078,125.753914
2,64,0.116403,0.040298,0.051870,2.888508,144.425415,2.244122,112.206078
4,1,0.115933,0.031262,0.040328,3.708425,92.710625,2.874735,71.868378
4,2,0.116772,0.025408,0.037914,4.595824,114.895607,3.079897,76.997414
4,4,0.116097,0.035045,0.045106,3.312793,82.819832,2.573894,64.347359
4,8,0.116667,0.023349,0.042773,4.996562,124.914047,2.727602,68.190041
4,16,0.116393,0.016963,0.037079,6.861474,171.536835,3.139080,78.476990
4,32,0.115810,0.024413,0.039046,4.743868,118.596695,2.965953,74.148834
4,64,0.116469,0.033622,0.056736,3.464112,86.602798,2.052815,51.320370
8,1,0.119666,0.015651,0.025071,7.646135,95.576683,4.773170,59.664631
8,2,0.115979,0.014016,0.037044,8.274754,103.434418,3.130796,39.134945
8,4,0.116218,0.014205,0.027418,8.181388,102.267349,4.238812,52.985157
8,8,0.120600,0.013370,0.025039,9.020429,112.755356,4.816422,60.205276
8,16,0.119849,0.013233,0.028280,9.056878,113.210976,4.237908,52.973854
8,32,0.117695,0.026318,0.046685,4.472011,55.900139,2.521034,31.512918
8,64,0.116506,0.036926,0.084384,3.155084,39.438553,1.380661,17.258266
16,1,0.125611,0.008292,0.017553,15.148485,94.678032,7.155984,44.724903
16,2,0.124016,0.013562,0.024290,9.144266,57.151665,5.105673,31.910456
16,4,0.126729,0.004086,0.020860,31.018068,193.862930,6.075242,37.970261
16,8,0.124719,0.010026,0.022930,12.439435,77.746468,5.439190,33.994938
16,16,0.127033,0.014938,0.040307,8.503818,53.148861,3.151675,19.697971
16,32,0.125036,0.025934,0.073296,4.821293,30.133080,1.705911,10.661943
16,64,0.123065,0.058739,0.134601,2.095131,13.094568,0.914301,5.714382
32,1,0.127144,0.004268,0.014482,29.788973,93.090538,8.779680,27.436501
32,2,0.127084,0.003408,0.019996,37.290695,116.533424,6.355395,19.860609
32,4,0.126610,0.006841,0.019576,18.508060,57.837688,6.467689,20.211527
32,8,0.126638,0.013801,0.037706,9.176198,28.675619,3.358558,10.495494
32,16,0.127035,0.020018,0.068038,6.346004,19.831261,1.867115,5.834735
32,32,0.127089,0.057040,0.126794,2.228068,6.962712,1.002331,3.132285
32,64,0.127100,0.122083,0.238446,1.041090,3.253406,0.533032,1.665726
64,1,0.126625,0.002198,0.012471,57.620304,90.031723,10.153372,15.864643
64,2,0.141315,0.003719,0.023102,37.999973,59.374958,6.116875,9.557617
64,4,0.145819,0.009204,0.041093,15.842377,24.753714,3.548485,5.544508
64,8,0.140554,0.023072,0.075818,6.091948,9.518669,1.853839,2.896623
64,16,0.126999,0.053562,0.145218,2.371072,3.704800,0.874543,1.366473
64,32,0.149483,0.112432,0.270254,1.329537,2.077401,0.553120,0.864250
64,64,0.127116,0.252364,0.535826,0.503701,0.787033,0.237234,0.370678
