Processes,N_Threads,Total_Lines,Serial_Time,Compute_Time,Compute_Communication_Time,Weak_Scaling_Compute,Weak_Scaling_Communication
2,1,262144,0.061685,0.031438,0.035768,1.962136,1.724616
4,1,524288,0.122815,0.031008,0.039891,3.960766,3.078766
8,1,1048576,0.245637,0.032285,0.051671,7.608313,4.753861
16,1,2097152,0.492313,0.031334,0.069500,15.711609,7.083679
32,1,4194304,1.031290,0.032294,0.115654,31.934780,8.917034
64,1,8388608,2.410111,0.037027,0.246646,65.091171,9.771551
