Processes,N_Threads,Serial_Time,Compute_Time,Total_Time,Speedup_Compute,Efficiency_Compute,Speedup_Comm,Efficiency_Comm
2,1,0.103685,0.052090,0.061598,1.990502,99.525108,1.683272,84.163605
4,1,0.103670,0.026095,0.035059,3.972834,99.320854,2.957033,73.925819
8,1,0.103702,0.013301,0.021682,7.796500,97.456253,4.782753,59.784412
16,1,0.110784,0.007040,0.015286,15.736267,98.351669,7.247219,45.295116
32,1,0.122897,0.004214,0.013185,29.166588,91.145584,9.321265,29.128954
64,1,0.144707,0.002411,0.010742,60.027813,93.793457,13.470861,21.048222
