Processes,N_Threads,Serial_Time,Compute_Time,Total_Time,Speedup_Compute,Efficiency_Compute,Speedup_Comm,Efficiency_Comm
2,1,0.245467,0.122966,0.140175,1.996217,99.810875,1.751148,87.557419
4,1,0.246427,0.061968,0.079178,3.976656,99.416412,3.112324,77.808113
8,1,0.246063,0.032412,0.051672,7.591774,94.897171,4.762003,59.525036
16,1,0.245270,0.015493,0.034299,15.830883,98.943016,7.150951,44.693443
32,1,0.247087,0.008127,0.025537,30.401592,95.004974,9.675712,30.236599
64,1,0.299554,0.004846,0.024685,61.820431,96.594421,12.135055,18.961023
