Processes,N_Threads,Total_Lines,Serial_Time,Compute_Time,Compute_Communication_Time,Weak_Scaling_Compute,Weak_Scaling_Communication
2,1,16384,0.003828,0.001930,0.002205,1.983446,1.736376
4,1,32768,0.007688,0.001937,0.002515,3.968494,3.057362
8,1,65536,0.015357,0.001949,0.003044,7.877784,5.045842
16,1,131072,0.030759,0.002031,0.004151,15.145344,7.410004
32,1,262144,0.063520,0.002019,0.006210,31.464439,10.228864
64,1,524288,0.149669,0.002458,0.011861,60.888344,12.618825
