Processes,N_Threads,Serial_Time,Compute_Time,Total_Time,Speedup_Compute,Efficiency_Compute,Speedup_Comm,Efficiency_Comm
2,1,0.233188,0.124912,0.142963,1.866816,93.340775,1.631113,81.555649
2,2,0.234013,0.212393,0.236683,1.101792,55.089581,0.988718,49.435902
2,4,0.234898,0.155170,0.178189,1.513805,75.690231,1.318254,65.912674
2,8,0.235218,0.088077,0.112493,2.670590,133.529495,2.090970,104.548477
2,16,0.234409,0.080688,0.101012,2.905130,145.256500,2.320601,116.030037
2,32,0.233653,0.075078,0.095585,3.112124,155.606201,2.444446,122.222313
2,64,0.234579,0.077347,0.096785,3.032803,151.640167,2.423697,121.184853
4,1,0.233710,0.063316,0.083620,3.691174,92.279350,2.794914,69.872856
4,2,0.234864,0.050010,0.080319,4.696324,117.408112,2.924127,73.103180
4,4,0.233168,0.071690,0.106174,3.252437,81.310928,2.196101,54.902534
4,8,0.234257,0.047197,0.099898,4.963443,124.086082,2.344957,58.623920
4,16,0.238792,0.038566,0.085870,6.191776,154.794388,2.780852,69.521301
4,32,0.233360,0.037845,0.082449,6.166223,154.155563,2.830366,70.759163
4,64,0.238844,0.058622,0.094960,4.074335,101.858376,2.515202,62.880051
8,1,0.233381,0.031256,0.061977,7.466653,93.333168,3.765603,47.070042
8,2,0.234250,0.028454,0.084962,8.232668,102.908348,2.757122,34.464024
8,4,0.238929,0.036121,0.071954,6.614621,82.682762,3.320586,41.507320
8,8,0.234265,0.025209,0.058102,9.293004,116.162552,4.031973,50.399666
8,16,0.239968,0.026662,0.059100,9.000402,112.505028,4.060345,50.754314
8,32,0.234603,0.041238,0.081639,5.689019,71.112740,2.873654,35.920677
8,64,0.235571,0.054326,0.123880,4.336210,54.202621,1.901604,23.770050
16,1,0.248229,0.016636,0.048331,14.921053,93.256584,5.136041,32.100254
16,2,0.249022,0.013300,0.060741,18.723516,117.021980,4.099744,25.623400
16,4,0.257213,0.018593,0.052708,13.833611,86.460068,4.879960,30.499750
16,8,0.247853,0.012803,0.054496,19.359402,120.996262,4.548110,28.425690
16,16,0.249213,0.024708,0.069725,10.086360,63.039749,3.574211,22.338816
16,32,0.247147,0.041875,0.107106,5.902017,36.887608,2.307498,14.421865
16,64,0.247253,0.056099,0.182578,4.407465,27.546654,1.354232,8.463947
32,1,0.256231,0.008669,0.040752,29.557394,92.366859,6.287545,19.648577
32,2,0.256094,0.006853,0.044296,37.370991,116.784348,5.781485,18.067141
32,4,0.256507,0.010889,0.048188,23.555601,73.611252,5.323048,16.634525
32,8,0.254741,0.020109,0.067532,12.667732,39.586662,3.772136,11.787927
32,16,0.255239,0.035592,0.093309,7.171160,22.409874,2.735411,8.548159
32,32,0.254772,0.054867,0.162181,4.643462,14.510819,1.570906,4.909081
32,64,0.254507,0.108938,0.278648,2.336263,7.300823,0.913364,2.854261
64,1,0.261360,0.004503,0.044151,58.036545,90.682098,5.919688,9.249513
64,2,0.254692,0.008711,0.054025,29.239605,45.686882,4.714342,7.366159
64,4,0.285068,0.012685,0.067509,22.473301,35.114532,4.222682,6.597940
64,8,0.255038,0.032451,0.101103,7.859121,12.279877,2.522549,3.941483
64,16,0.287743,0.065895,0.166641,4.366713,6.822989,1.726727,2.698011
64,32,0.264934,0.121103,0.296261,2.187678,3.418247,0.894257,1.397276
64,64,0.288134,0.251355,0.547475,1.146325,1.791132,0.526297,0.822339
